,head,variable,value
129,Course1_W5-S1-L4_Classical_Approaches_to_MT_Part_1_8-02,concept_vocab_index,vi55
130,Course2_W6-S1-L4_CKY_Example_21-52,concept_vocab_index,vi47
131,Course1_W3-S1-L2_Introduction_to_the_Parsing_Problem_Part_1_10-37,l_text_topics,topic_1
132,Course1_W3-S1-L8_A_Simple_Grammar_for_English_Part_3_11-21,concept_vocab_index,vi1057
133,Course1_W1-S2-L2_Introduction_to_the_Language_Modeling_Problem_Part_2_7-12,level,level_1
134,Course3_W3-S1-L3_-_The_Vector_Space_Model_-_15_slides_09-53,l_text_topics,topic_12
135,Course2_W7-S1-L1_Introduction_to_Information_Retrieval_9-16,concept_vocab_index,vi1124
136,Course1_W4-S2-L6_Evaluation_of_Lexicalized_PCFGs_Part_1_9-32,concept_vocab_index,vi873
137,Course3_W12-S1-L2_-_Coherence_-_19_slides_16-39,l_text_topics,topic_13
138,Course1_W2-S1-L1_The_Tagging_Problem_10-01,l_text_topics,topic_11
139,Course1_W10-S1-L6_GLMs_for_Tagging_Part_4_6-00,l_text_topics,topic_11
140,Course3_W10-S1-L2_-_Information_Retrieval_-_32_slides_21-38,concept_vocab_index,vi483
141,Course1_W8-S1-L4_Features_in_Log-Linear_Taggers_13-21,l_text_topics,topic_6
142,Course3_W7-S1-L1_-_Noisy_Channel_Model_-_8_slides_08-33,concept_vocab_index,vi980
143,Course3_W5-S1-L7_-_Dependency_Parsing_-_28_slides_18-04,concept_vocab_index,vi292
144,Course1_W2-S1-L3_Hidden_Markov_Models_HMMs-_Basic_Definitions_12-00,concept_vocab_index,vi1338
145,Course1_W6-S1-L4_Learning_Phrases_from_Alignments_Part_3_8-47,concept_vocab_index,vi586
146,Course3_W2-S1-L6_-_NACLO_-_11_slides_03-51,concept_vocab_index,vi228
147,Course2_W3-S1-L4_Naive_Bayes-_Learning_5-22,concept_vocab_index,vi545
148,Course2_W6-S3-L1_Dependency_Parsing_Introduction_10-25,concept_vocab_index,vi991
149,Course1_W10-S2-L4_GLMs_for_Dependency_Parsing_Part_1_11-59,concept_vocab_index,vi442
150,Course3_W10-S1-L4_-_Text_Classification_-_26_slides_26-36,concept_vocab_index,vi864
151,Course3_W4-S1-L2_-_Parsing_-_22_slides_17-38,concept_vocab_index,vi1111
152,Course1_W5-S1-L4_Classical_Approaches_to_MT_Part_1_8-02,concept_vocab_index,vi561
153,Course3_W7-S1-L6_-_Information_Extraction_-_10_slides_05-37,concept_vocab_index,vi993
154,Course3_W4-S1-L5_-_The_Penn_Treebank_-_21_slides_17-55,concept_vocab_index,vi1057
155,Course3_W8-S1-L2_-_Evaluation_of_QA__System_Architecture_-_21_slides_21-59,concept_vocab_index,vi113
156,Course3_W4-S1-L2_-_Parsing_-_22_slides_17-38,concept_vocab_index,vi127
157,Course3_W2-S1-L4_-_Morphological_Similarity-_Stemming_-_19_slides_15-05,concept_vocab_index,vi1252
158,Course1_W10-S2-L3_The_Dependency_Parsing_Problem_Part_2_13-53,concept_vocab_index,vi148
159,Course2_W5-S2-L1_An_Intro_to_Parts_of_Speech_and_POS_Tagging_13-19,concept_vocab_index,vi993
160,Course3_W4-S1-L5_-_The_Penn_Treebank_-_21_slides_17-55,concept_vocab_index,vi750
161,Course2_W2-S2-L2_The_Noisy_Channel_Model_of_Spelling_19-30,concept_vocab_index,vi743
162,Course2_W7-S1-L3_The_Inverted_Index_10-42,concept_vocab_index,vi1296
163,Course3_W9-S1-L6_-_Sentence_Simplification_-_8_slides_05-30,concept_vocab_index,vi561
164,Course1_W1-S2-L2_Introduction_to_the_Language_Modeling_Problem_Part_2_7-12,concept_vocab_index,vi55
165,Course1_W8-S1-L1_Introduction_1-41,l_text_topics,topic_12
166,Course3_W12-S1-L7_-_Machine_Translation_Advanced_Methods_-_13_slides_09-36,concept_vocab_index,vi183
167,Course3_W10-S1-L2_-_Information_Retrieval_-_32_slides_21-38,concept_vocab_index,vi659
168,Course3_W11-S1-L5_-_First_Order_Logic_-_16_slides_07-37,concept_vocab_index,vi423
169,Course3_W3-S1-L6_-_NLP_Tasks_2-3_-_20_slides_15-33,concept_vocab_index,vi1122
170,Course2_W2-S1-L2_Estimating_N-gram_Probabilities_9-38,concept_vocab_index,vi116
171,Course2_W3-S2_L5_Other_Sentiment_Tasks_11-01,concept_vocab_index,vi73
172,Course3_W12-S1-L6_-__Machine_Translation_Noisy_Channel_Methods_-_22_slides_11-53,concept_vocab_index,vi656
173,Course1_W7-S1-L3_Features_in_Log-Linear_Models_Part_1_13-56,concept_vocab_index,vi484
174,Course1_W8-S1-L3_Independence_Assumptions_in_Log-linear_Taggers_8-32,concept_vocab_index,vi1338
175,Course2_W4-S2-L2_Evaluation_of_Named_Entity_Recognition_6-34,l_text_topics,topic_5
176,Course2_W4-S2-L4_Maximum_Entropy_Sequence_Models_13-01,concept_vocab_index,vi826
177,Course3_W1-S1-L1_-_Introduction_-_11_slides_08-39,concept_vocab_index,vi606
178,Course3_W6-S1-L5_-_Language_Modeling_2-3_-_13_slides_10-56,concept_vocab_index,vi130
179,Course3_W2-S1-L1_-_Parts_of_speech_-_17_slides_15-50,concept_vocab_index,vi1091
180,Course2_W6-S2-L3_PCFG_Independence_Assumptions_9-44,concept_vocab_index,vi943
181,Course2_W4-S1-L3_Feature-Based_Linear_Classifiers_13-34,concept_vocab_index,vi873
182,Course2_W2-S2-L1_The_Spelling_Correction_Task_5-39,l_text_topics,topic_4
183,Course2_W5-S2-L1_An_Intro_to_Parts_of_Speech_and_POS_Tagging_13-19,concept_vocab_index,vi991
184,Course3_W10-S1-L1_-_Collocations_-_20_slides_11-54,l_text_topics,topic_0
185,Course1_W9-S2-L3_Motivation_for_GLMs_6-34,concept_vocab_index,vi873
186,Course2_W3-S1-L1_What_is_Text_Classification_8-12,concept_vocab_index,vi798
187,Course2_W1-S2-L2_Regular_Expressions_in_Practical_NLP_6-04,concept_vocab_index,vi1022
188,Course1_W7-S1-L7_Parameter_Estimation_in_Log-linear_Models_Part_1_12-44,concept_vocab_index,vi905
189,Course3_W10-S1-L3_-_Evaluation_of_IR_-_14_slides_11-15,prerequisite,Course3_W10-S1-L2_-_Information_Retrieval_-_32_slides_21-38
190,Course3_W10-S1-L4_-_Text_Classification_-_26_slides_26-36,concept_vocab_index,vi1437
191,Course3_W1-S1-L5_-_Why_is_NLP_hard_-_18_slides_25-56,l_text_topics,topic_8
192,Course2_W6-S1-L5_Constituency_Parser_Evaluation_9-45,concept_vocab_index,vi946
193,Course3_W10-S1-L4_-_Text_Classification_-_26_slides_26-36,concept_vocab_index,vi980
194,Course2_W8-S1-L4_Word_Similarity-_Distributional_Similarity_I_13-14,concept_vocab_index,vi345
195,Course1_W7-S1-L5_Definition_of_Log-linear_Models_Part_1_11-50,concept_vocab_index,vi679
196,Course1_W8-S2-L4_Representing_Trees_as_Decision_Sequences_Part_2_10-20,l_text_topics,topic_1
197,Course2_W8-S3-L2_Generating_Snippets,l_text_topics,topic_5
198,Course3_W8-S1-L5_-_Question_Answering_Systems_2-2_-_9_slides_10-55,concept_vocab_index,vi88
199,Course3_W1-S1-L2_-_Examples_of_Text_-_14_slides_07-52,concept_vocab_index,vi468
200,Course3_W12-S1-L7_-_Machine_Translation_Advanced_Methods_-_13_slides_09-36,concept_vocab_index,vi818
201,Course1_W3-S1-L3_Introduction_to_the_Parsing_Problem_Part_2_4-20,l_text_topics,topic_8
202,Course2_W7-S2-L7_Calculating_TF-IDF_Cosine_Scores_12-47,concept_vocab_index,vi433
203,Course2_W5-S3-L3_The_Exponential_Problem_in_Parsing_14-30,concept_vocab_index,vi984
204,Course3_W3-S1-L6_-_NLP_Tasks_2-3_-_20_slides_15-33,concept_vocab_index,vi470
205,Course2_W2-S1-L2_Estimating_N-gram_Probabilities_9-38,concept_vocab_index,vi790
206,Course2_W5-S3-L1_Syntactic_Structure-_Constituency_vs_Dependency_8-46,concept_vocab_index,vi991
207,Course3_W11-S1-L2_-_Sentiment_Lexicons_-_12_slides_07-53,concept_vocab_index,vi745
208,Course1_W6-S1-L2_Learning_Phrases_from_Alignments_Part_1_9-18,concept_vocab_index,vi573
209,Course2_W7-S2-L5_TF-IDF_Weighting_3-42,concept_vocab_index,vi677
210,Course1_W3-S1-L2_Introduction_to_the_Parsing_Problem_Part_1_10-37,concept_vocab_index,vi806
211,Course2_W4-S3-L4_Semi-Supervised_and_Unsupervised_Relation_Extraction_9-53,concept_vocab_index,vi1206
212,Course3_W5-S1-L4_-_Prepositional_phrase_attachment_3-3_-_18_slides_12-53,level,level_2
213,Course1_W5-S2-L5_The_EM_Algorithm_for_IBM_Model_2_Part_1_5-09,concept_vocab_index,vi1206
214,Course2_W1-S3-L5_Minimum_Edit_Distance_in_Computational_Biology_9-29,concept_vocab_index,vi1252
215,Course1_W10-S1-L2_Recap_of_GLMs_7-40,concept_vocab_index,vi1434
216,Course3_W5-S1-L5_-_Statistical_Parsing_-_29_slides_12-52,concept_vocab_index,vi147
217,Course3_W1-S1-L5_-_Why_is_NLP_hard_-_18_slides_25-56,concept_vocab_index,vi693
218,Course3_W11-S1-L1_-_Sentiment_Analysis_-_17_slides_08-49,concept_vocab_index,vi134
219,Course2_W8-S1-L5_Word_Similarity-_Distributional_Similarity_II_8-15,concept_vocab_index,vi1443
220,Course3_W12-S1-L8_-_Text_Generation_-_11_slides_05-49,concept_vocab_index,vi55
221,Course1_W5-S1-L1_Opening_Comments_0-25,l_text_topics,topic_12
222,Course2_W8-S2-L2_Answer_Types_and_Query_Formulation_8-47,concept_vocab_index,vi1087
223,Course2_W8-S3-L4_Summarizing_Multiple_Documents,concept_vocab_index,vi1108
224,Course2_W1-S1-L1_Course_Introduction_14-11,concept_vocab_index,vi984
225,Course2_W4-S1-L1_Generative_vs,concept_vocab_index,vi837
226,Course3_W7-S1-L2_-_Part_of_Speech_Tagging_-_15_slides_18-08,concept_vocab_index,vi150
227,Course2_W6-S2-L2_Charniaks_Model_18-23,concept_vocab_index,vi27
228,Course2_W7-S2-L7_Calculating_TF-IDF_Cosine_Scores_12-47,concept_vocab_index,vi456
229,Course2_W7-S2-L8_Evaluating_Search_Engines_9-02,concept_vocab_index,vi1146
230,Course1_W6-S2-L1_Definition_of_the_Decoding_Problem_Part_1_9-12,concept_vocab_index,vi43
231,Course2_W8-S2-L1_What_is_Question_Answering_7-28,concept_vocab_index,vi144
232,Course1_W8-S2-L2_Conditional_History-based_Models_7-14,concept_vocab_index,vi47
233,Course3_W3-S1-L5_-_NLP_Tasks_1-3_-_16_slides_14-45,concept_vocab_index,vi984
234,Course3_W2-S1-L7_-_Preprocessing_-_9_slides_11-48,concept_vocab_index,vi713
235,Course1_W6-S1-L1_Introduction_0-41,concept_vocab_index,vi561
236,Course1_W1-S2-L2_Introduction_to_the_Language_Modeling_Problem_Part_2_7-12,concept_vocab_index,vi559
237,Course1_W3-S1-L6_A_Simple_Grammar_for_English_Part_1_10-32,concept_vocab_index,vi403
238,Course2_W2-S1-L6_Interpolation_10-25,level,level_3
239,Course1_W5-S1-L4_Classical_Approaches_to_MT_Part_1_8-02,concept_vocab_index,vi468
240,Course3_W4-S1-L5_-_The_Penn_Treebank_-_21_slides_17-55,concept_vocab_index,vi33
241,Course1_W8-S2-L4_Representing_Trees_as_Decision_Sequences_Part_2_10-20,concept_vocab_index,vi1284
242,Course1_W9-S2-L2_Recap_of_History-based_Models_7-11,concept_vocab_index,vi351
243,Course2_W5-S3-L2_Empirical-Data-Driven_Approach_to_Parsing_7-11,concept_vocab_index,vi617
244,Course3_W12-S1-L7_-_Machine_Translation_Advanced_Methods_-_13_slides_09-36,l_text_topics,topic_8
245,Course1_W5-S1-L2_introduction_2-03,concept_vocab_index,vi818
246,Course3_W5-S1-L2_-_Prepositional_phrase_attachment_1-3_-_15_slides_14-50,concept_vocab_index,vi43
247,Course1_W8-S1-L7_An_Example_Application_9-28,l_text_topics,topic_5
248,Course3_W6-S1-L3_-_Language_Modeling_1-3_-_18_slides_19-21,concept_vocab_index,vi147
249,Course2_W6-S2-L5_Latent_Variable_PCFGs_12-07,concept_vocab_index,vi351
250,Course1_W6-S1-L3_Learning_Phrases_from_Alignments_Part_2_7-01,concept_vocab_index,vi873
251,Course2_W5-S1-L4_Smoothing-Regularization-Priors_for_Maxent_Models_29-24,concept_vocab_index,vi484
252,Course2_W3-S2_L2_Sentiment_Analysis-_A_baseline_algorithm_13-27,concept_vocab_index,vi1313
253,Course2_W1-S2-L2_Regular_Expressions_in_Practical_NLP_6-04,concept_vocab_index,vi1420
254,Course3_W2-S1-L1_-_Parts_of_speech_-_17_slides_15-50,concept_vocab_index,vi1026
255,Course2_W4-S3-L3_Supervised_Relation_Extraction_10-51,concept_vocab_index,vi909
256,Course1_W9-S1-L7_Clusters_in_NE_Recognition_Part_2_7-28,concept_vocab_index,vi14
257,Course3_W12-S1-L8_-_Text_Generation_-_11_slides_05-49,concept_vocab_index,vi1345
258,Course2_W6-S2-L4_The_Return_of_Unlexicalized_PCFGs_20-53,concept_vocab_index,vi1206
259,Course1_W1-S1-L1_Introduction_Part_1_11-17,concept_vocab_index,vi982
260,Course2_W6-S2-L4_The_Return_of_Unlexicalized_PCFGs_20-53,concept_vocab_index,vi14
261,Course1_W1-S3-L2_Linear_Interpolation_Part_2_11-35,l_text_topics,topic_11
262,Course2_W7-S2-L7_Calculating_TF-IDF_Cosine_Scores_12-47,concept_vocab_index,vi47
263,Course3_W6-S1-L5_-_Language_Modeling_2-3_-_13_slides_10-56,prerequisite,Course3_W6-S1-L4_-_Language_Modeling_1-3_contd_-__5_slides_03-05
264,Course1_W10-S2-L3_The_Dependency_Parsing_Problem_Part_2_13-53,concept_vocab_index,vi468
265,Course2_W8-S2-L2_Answer_Types_and_Query_Formulation_8-47,concept_vocab_index,vi915
266,Course3_W3-S1-L5_-_NLP_Tasks_1-3_-_16_slides_14-45,l_text_topics,topic_1
267,Course1_W3-S2-L2_Basics_of_PCFGs_Part_1_9-43,concept_vocab_index,vi235
268,Course1_W2-S1-L5_The_Viterbi_Algorithm_for_HMMs_Part_1_14-07,level,level_1
269,Course3_W4-S1-L2_-_Parsing_-_22_slides_17-38,concept_vocab_index,vi980
270,Course2_W8-S1-L4_Word_Similarity-_Distributional_Similarity_I_13-14,concept_vocab_index,vi43
271,Course1_W6-S2-L3_Definition_of_the_Decoding_Problem_Part_3_10-43,concept_vocab_index,vi573
272,Course3_W3-S1-L3_-_The_Vector_Space_Model_-_15_slides_09-53,concept_vocab_index,vi43
273,Course2_W7-S2-L2_Scoring_with_the_Jaccard_Coefficient_5-06,concept_vocab_index,vi545
274,Course1_W9-S2-L3_Motivation_for_GLMs_6-34,concept_vocab_index,vi954
275,Course3_W2-S1-L1_-_Parts_of_speech_-_17_slides_15-50,concept_vocab_index,vi685
