,feature,proba,topic_num,cv_index,cv_index_1
1094,corpus,0.0017156705,10,"['vi118', 'vi343']",vi118
1104,model,0.00921309,11,"['vi941', 'vi1309']",vi941
1125,sentence,0.004577332,11,['vi1333'],vi1333
1144,likelihood,0.003319144,11,['vi825'],vi825
1147,time,0.003248187,11,['vi136'],vi136
1162,maximum_entropy,0.002502073,11,['vi901'],vi901
1167,algorithm,0.0024150268,11,['vi47'],vi47
1193,counts,0.0020199455,11,['vi360'],vi360
1200,sentence,0.022659278,12,['vi1333'],vi1333
1204,model,0.010686926,12,"['vi941', 'vi1309']",vi941
1209,english,0.007790887,12,['vi491'],vi491
1215,tags,0.0059385896,12,['vi1495'],vi1495
1230,language,0.0041911905,12,['vi43'],vi43
1234,french,0.0040469817,12,['vi493'],vi493
1243,information,0.0034147182,12,"['vi55', 'vi1145']",vi55
1257,tagging,0.0026353025,12,['vi1599'],vi1599
1275,trigram,0.0021394407,12,['vi1575'],vi1575
1293,hidden,0.0018619492,12,['vi667'],vi667
1300,nucleus,0.016669596,13,['vi1028'],vi1028
1302,satellite,0.012450211,13,['vi1314'],vi1314
1304,relation,0.009229043,13,"['vi124', 'vi469']",vi124
1319,relations,0.0043690847,13,['vi264'],vi264
1324,coherence,0.0037528765,13,['vi262'],vi262
1325,rhetorical_structure,0.0036211868,13,['vi1287'],vi1287
1330,utterance,0.0033889576,13,['vi1602'],vi1602
1351,competition,0.0023693289,13,['vi150'],vi150
1360,cluster,0.002165059,13,['vi250'],vi250
1365,simplifying_assumptions,0.0019520298,13,"['vi679', 'vi989']",vi679
1371,discourse_analysis,0.0018879051,13,['vi1563'],vi1563
